Footprint,Designator,Comment
TE_2329497-2,"U221,U205,U28,U30,U142,U152,U39,U149,U34,U172,U2,U131,U235,U115,U192,U19,U173,U134,U184,U242,U122,U132,U35,U16,U89,U217,U146,U226,U176,U182,U106,U75,U169,U65,U25,U22,U70,U98,U139,U136,U51,U228,U79,U43,U56,U58,U110,U121,U96,U238,U71,U76,U251,U73,U239,U188,U252,U153,U244,U141,U103,U144,U108,U105,U7,U189,U208,U44,U113,U17,U14,U117,U81,U178,U5,U33,U60,U84,U150,U48,U123,U24,U237,U12,U223,U20,U209,U91,U211,U202,U167,U78,U145,U212,U93,U219,U49,U177,U174,U3,U160,U116,U124,U224,U227,U61,U107,U59,U233,U109,U151,U165,U148,U11,U97,U218,U120,U180,U135,U156,U112,U1,U137,U38,U164,U118,U161,U159,U231,U67,U83,U128,U170,U168,U92,U154,U216,U88,U99,U240,U68,U102,U53,U41,U45,U138,U90,U10,U87,U197,U8,U74,U86,U229,U166,U94,U52,U46,U234,U147,U179,U85,U63,U42,U200,U206,U13,U100,U47,U9,U163,U50,U125,U222,U66,U82,U6,U62,U104,U247,U72,U26,U214,U210,U196,U249,U232,U225,U64,U204,U171,U143,U80,U207,U250,U40,U95,U246,U111,U175,U241,U155,U119,U181,U29,U248,U198,U101,U129,U31,U27,U193,U57,U69,U187,U37,U55,U4,U114,U230,U77,U126,U130,U186,U243,U185,U194,U32,U15,U158,U190,U183,U157,U54,U127,U201,U21,U245,U199,U195,U140,U36,U18,U236,U215,U203,U23,U213",2329497-2
MountingHole_2.7mm_M2.5_ISO7380_Pad,"H4,H3,H2,H1",MountingHole
1mm_x_1mm_solder_pad,"J190,J248,J150,J34,J212,J200,J224,J131,J45,J233,J178,J136,J185,J221,J226,J246,J175,J57,J232,J235,J242,J170,J67,J68,J4,J18,J172,J31,J96,J92,J130,J135,J23,J213,J205,J240,J138,J145,J81,J251,J153,J75,J148,J204,J209,J83,J206,J58,J173,J203,J143,J10,J163,J17,J245,J111,J82,J63,J100,J19,J22,J201,J179,J105,J103,J202,J33,J80,J59,J55,J97,J120,J199,J198,J156,J207,J152,J61,J117,J25,J182,J32,J78,J110,J140,J2,J6,J77,J44,J8,J160,J229,J159,J215,J30,J101,J127,J29,J62,J194,J54,J50,J250,J157,J167,J91,J181,J184,J183,J134,J142,J174,J76,J196,J116,J164,J249,J137,J189,J124,J169,J99,J86,J46,J39,J79,J48,J114,J109,J35,J89,J236,J119,J193,J104,J12,J165,J49,J171,J7,J87,J71,J115,J13,J188,J65,J217,J239,J210,J56,J95,J216,J122,J40,J176,J85,J47,J222,J64,J11,J84,J66,J227,J225,J24,J37,J113,J147,J5,J69,J38,J98,J139,J123,J168,J186,J228,J177,J20,J9,J154,J1,J231,J107,J146,J53,J197,J41,J128,J243,J238,J144,J241,J16,J158,J141,J94,J125,J219,J88,J73,J192,J230,J214,J112,J118,J28,J234,J121,J72,J15,J27,J70,J187,J244,J208,J106,J60,J180,J252,J42,J36,J3,J74,J223,J218,J14,J90,J52,J195,J102,J126,J93,J51,J26,J166,J43,J247,J129,J237,J211,J161,J155,J151,J149,J108,J132,J21",Conn_01x01_Male
